card-id,name,faction,kind,tier,cost,ai-prompt
bucket,Bucket,universal,unit,1,1,"Card character: Bucket. Visual cue: Fallback unit. Unremarkable, dependable, unavoidable. neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. stats 1/2. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-runner,Antlion Runner,antlion,unit,1,1,"Card character: Antlion Runner. Visual cue: Fast low-cost lane pressure. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. simple, common, low-tier design, small and humble. stats 2/1. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-worker,Antlion Worker,antlion,unit,2,3,"Card character: Antlion Worker. Visual cue: Can spit acid at the opposing unit after surviving a turn. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. stats 2/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-guard,Antlion Guard,antlion,unit,3,5,"Card character: Antlion Guard. Visual cue: Heavy creature with a destructive charge. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. majestic, epic, imposing, high-tier legendary design. stats 5/7. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
combine-metrocop,Metrocop,combine,unit,1,2,"Card character: Metrocop. Visual cue: Reliable Combine infantry. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. simple, common, low-tier design, small and humble. stats 2/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
combine-soldier,Combine Soldier,combine,unit,2,4,"Card character: Combine Soldier. Visual cue: Can reinforce a friendly unit. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. mid-tier design, solid and functional. stats 4/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
combine-elite,Combine Elite,combine,unit,3,6,"Card character: Combine Elite. Visual cue: Expensive finisher that can fire directly at the enemy hero. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. majestic, epic, imposing, high-tier legendary design. stats 6/6. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-scout,Rebel Scout,rebel,unit,1,1,"Card character: Rebel Scout. Visual cue: Cheap rebel body. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. simple, common, low-tier design, small and humble. stats 1/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-medic,Rebel Medic,rebel,unit,2,3,"Card character: Rebel Medic. Visual cue: Keeps friendly units alive. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. mid-tier design, solid and functional. stats 2/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-veteran,Rebel Veteran,rebel,unit,3,5,"Card character: Rebel Veteran. Visual cue: Can rally an ally into a stronger threat. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. majestic, epic, imposing, high-tier legendary design. stats 4/6. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-shambler,Shambler,zombie,unit,1,2,"Card character: Shambler. Visual cue: Slow but durable. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. simple, common, low-tier design, small and humble. stats 2/4. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-fast,Fast Zombie,zombie,unit,2,3,"Card character: Fast Zombie. Visual cue: Aggressive zombie that can mend itself. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. mid-tier design, solid and functional. stats 4/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-poison,Poison Zombie,zombie,unit,3,5,"Card character: Poison Zombie. Visual cue: A large source of persistent lane pressure. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. majestic, epic, imposing, high-tier legendary design. stats 4/8. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
universal-mercenary,Mercenary,universal,unit,2,3,"Card character: Mercenary. Visual cue: Universal unit that fits any lane. neutral faction, pragmatic versatile mercenary aesthetic. mid-tier design, solid and functional. stats 3/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
antlion-tinker,Antlion Tinker,antlion,unit,2,3,"Card character: Antlion Tinker. Visual cue: Spits volatile acid at the opposing unit after surviving a turn. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. stats 4/3. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
combine-laser,Combine Laser,combine,unit,3,5,"Card character: Combine Laser. Visual cue: Anchors an ally with a targeting laser that sharpens their weapons. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. majestic, epic, imposing, high-tier legendary design. stats 3/5. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
rebel-commander,Rebel Commander,rebel,unit,3,5,"Card character: Rebel Commander. Visual cue: Leads the resistance and calls in reinforcements. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. majestic, epic, imposing, high-tier legendary design. stats 3/5. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
zombie-bloater,Zombie Bloater,zombie,unit,2,3,"Card character: Zombie Bloater. Visual cue: A bloated horror that detonates on command, scorching the enemy hero. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. mid-tier design, solid and functional. stats 2/5. detailed fantasy trading-card-game illustration, portrait orientation, centered subject, dramatic cinematic lighting, rich saturated color, clean uncluttered background, collectible card art."
building-field-hospital,Field Hospital,rebel,building,2,3,"Defensive fortification for a card game. Visual cue: At the start of your turn, heal your unit in this lane by 1. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
building-ammo-cache,Ammo Cache,combine,building,2,3,"Defensive fortification for a card game. Visual cue: Your unit in this lane gets +1 attack while attacking. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
building-nest,Antlion Nest,antlion,building,2,2,"Defensive fortification for a card game. Visual cue: Your unit in this lane gets +1 attack while attacking. alien insectoid faction, grotesque chitinous scorpion-like creatures, bioluminescent amber accents, desert biome. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
building-grave-mound,Grave Mound,zombie,building,2,2,"Defensive fortification for a card game. Visual cue: At the start of your turn, heal your unit in this lane by 1. undead plague faction, rotting putrefied zombies, tattered flesh, sickly green necrotic glow. mid-tier design, solid and functional. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
building-bunker,Bunker,universal,building,3,4,"Defensive fortification for a card game. Visual cue: Your unit in this lane gets +1 attack while attacking. neutral faction, pragmatic versatile mercenary aesthetic. majestic, epic, imposing, high-tier legendary design. detailed fantasy trading-card-game illustration, portrait orientation, centered single structure, dramatic cinematic lighting, rich color, clean uncluttered background, collectible card art."
power-strike,Focused Strike,universal,power,1,2,"Spell icon for a card game ability. Visual cue: Deal 3 damage to an enemy unit. neutral faction, pragmatic versatile mercenary aesthetic. simple, common, low-tier design, small and humble. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-rally,Rally Order,rebel,power,2,2,"Spell icon for a card game ability. Visual cue: Give a friendly unit +2 ATK and +2 HP. gritty human guerrilla faction, modern military fatigues, ragged bandanas, urban resistance fighters. mid-tier design, solid and functional. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
power-shelling,Shelling,combine,power,3,4,"Spell icon for a card game ability. Visual cue: Deal 4 damage directly to the enemy hero. dystopian authoritarian sci-fi faction, mechanized dark-metal tactical soldiers, orange energy glow, corporate-military. majestic, epic, imposing, high-tier legendary design. detailed fantasy trading-card-game spell icon, single bold focal magical symbol, abstract no characters, dramatic lighting, rich color, clean uncluttered background, collectible card art."
